file_name,chunk_number,word_count,chunk_text
is16.utf8,1,180,మీరు మొత్తం కథ నేను బతకాలి ను ఒకే టెక్స్ట్ ఫార్మాట్లో కావాలని అడుగుతున్నారు మీకు సహాయం చేయడానికి కథా వచనాన్ని మొత్తం కింద ఇస్తున్నాను నేను మీకు నేరుగా ఫైల్ను సృష్టించి పంపలేను కానీ మీరు దీన్ని సులభంగా కాపీ చేసి మీ కంప్యూటర్లో ఉన్న టెక్స్ట్ ఎడిటర్ ఉదాహరణకు నోట్ప్యాడ్ లేదా గూగుల్ డాక్స్ లో పేస్ట్ చేసి ఆ తరువాత ఫైల్గా సేవ్ చేసుకోవచ్చు నేను బతకాలి సామాజికనైతిక డ్రామా అధ్యాయం పరిచయం ఆదినారాయణ సరళత్వం ఆదినారాయణ ఒక చిన్న ప్రభుత్వ పాఠశాలలో తెలుగు ఉపాధ్యాయుడుగా పనిచేసి రిటైర్ అయ్యాడు అతని జీవితం పుస్తకాలు నిజాయితీ మరియు తన భార్య యశోద చుట్టూ తిరుగుతుంది అతను లోకాన్ని మంచిగా సరళంగా చూస్తాడు మోసం అబద్ధం వంటివి అతనికి తెలియవు అందుకే తనను మోసం చేయడానికి ప్రయత్నించే వారిని కూడా అతను నమ్మేవాడు ఆదినారాయణకు ఉన్నదల్లా ఒకటే ఆస్తి తండ్రి ద్వారా సంక్రమించిన పట్టణం మధ్యలో ఉన్న పాత ఇల్లు తన రిటైర్మెంట్ డబ్బుతో తన కొడుకు ప్రకాష్ కు మంచి భవిష్యత్తు ఇవ్వాలని కూతురు సౌమ్య పెళ్లి చేయాలని కలలు కనేవాడు అతని కలలన్నీ అతనిలోని మమత అనుబంధం చుట్టూ అల్లుకుని ఉన్నాయి అధ్యాయం లోకజ్ఞానం లేని నిర్ణయం ఆదినారాయణ పాత ఇంటి పక్కనే ఒక బహుళ అంతస్తుల భవనం కట్టాలని రామారావు అనే స్థానిక వ్యాపారి ప్లాన్ చేశాడు రామారావు చాలా జిత్తులమారి వ్యక్తి కానీ ఆదినారాయణ ముందు ఎంతో గౌరవంగా నటించాడు రామారావు ఆదినారాయణ ఇంటిని మంచి ధర ఇచ్చి కొంటానని లేదా ఆ స్థలాన్ని డెవలప్ చేసి అందులో ఒక అంతస్తును పూర్తిగా ఆదినారాయణకు ఇస్తానని నమ్మబలికాడు
is16.utf8,2,195,రామారావు మర్యాదకు మాటలకు కరిగిపోయిన ఆదినారాయణ యశోద వ్యతిరేకించినా వినకుండా రామారావుతో డెవలప్మెంట్ ఒప్పందం చేసుకున్నాడు యశోదా మమత మానవత్వం ముఖ్యం రామారావు అంత మర్యాదగా మాట్లాడుతున్నాడు మోసం చేయడు మనకు ఇల్లు కూడా వస్తుంది డబ్బు కూడా వస్తుంది అని ఆదినారాయణ తన సరళత్వాన్ని నమ్ముకున్నాడు అధ్యాయం నమ్మకంపై మోసం ఒప్పందం జరిగిన వెంటనే రామారావు ఇంటి పనులు మొదలుపెట్టాడు కానీ ఆదినారాయణకు ఇచ్చిన అద్దె డబ్బు ఆపేశాడు ఇల్లు కూలగొట్టడం మట్టి తవ్వడం వల్ల ఆదినారాయణ కుటుంబం చాలా ఇబ్బందులు పడింది ఒక రోజు రామారావు ఆదినారాయణతో మీకు ఇల్లు రావడం కుదరదు ప్రాజెక్ట్ నష్టాల్లో ఉంది ఇల్లు కావాలంటే మీరు నాకు కొంత డబ్బు ఇవ్వాలి అని మొహం మీదే చెప్పాడు ఒప్పందం పేపర్లను చూపి అందులోని చిక్కుముడులను వివరించాడు ఆదినారాయణ తన సరళత్వం కారణంగా లీగల్ అంశాలు సరిగా చూసుకోలేదని రామారావు తన నమ్మకాన్ని మోసం చేశాడని తెలుసుకున్నాడు ఆదినారాయణ జీవితం అతని నిజాయితీ మమత అనే పునాదిపై కట్టుకున్న ఇల్లు ఒక్కసారిగా కూలిపోయినట్లు అనిపించింది అతని రిటైర్మెంట్ డబ్బు అంతా రామారావు వలలో చిక్కుకుంది అధ్యాయం చేతకాని తండ్రి ఆర్థిక సమస్యలు తీవ్రమయ్యాయి కొడుకు ప్రకాష్ రామారావును నిలదీయాలని ప్రయత్నించాడు కానీ రామారావు రాజకీయ పలుకుబడిని ఉపయోగించి బెదిరించాడు ప్రకాష్ కోపంతో తండ్రిని నిందించాడు మీ అతి సరళత్వం మీ లోకజ్ఞానం లేకపోవడం వల్లే మనం ఈ పరిస్థితిలోకి వచ్చాము మీరు కేవలం పుస్తకాలు నిజాయితీ తప్ప జీవితాన్ని మనుషులను ఎలా చదవాలో నేర్చుకోలేదు మీ మమత కేవలం నష్టం చేసింది నా దృష్టిలో మీరు ఈ రోజు చేతకాని తండ్రి కొడుకు నోటి వెంట వచ్చిన ఈ మాటలు ఆదినారాయణను లోపల దహించాయి తాను కేవలం సమాజంలోనే కాదు తన కుటుంబంలో కూడా గౌరవాన్ని మమతను కోల్పోతున్నానని గ్రహించాడు
is16.utf8,3,184,అతని జీవితంలో నిజమైన చీకటి మొదలైంది అధ్యాయం మమత యొక్క పోరాటం ఆదినారాయణ మనసులో బాధ పశ్చాత్తాపం ఉన్నా కూతురు సౌమ్య మాత్రం తన తండ్రిని నమ్మింది నాన్న మీరు మోసం చేయలేదు మోసపోయారు మీలోని ఆ మమత ఆ నిజాయితీకి లోకం ఇచ్చిన శిక్ష ఇది మనం కలిసి పోరాడాలి నా పెళ్లి సంగతి తర్వాత చూద్దాం ముందు మన గౌరవాన్ని మన ఇంటిని తిరిగి తీసుకురావాలి అని అండగా నిలిచింది సౌమ్య ప్రోత్సాహంతో ఆదినారాయణ న్యాయస్థానంలో రామారావుపై కేసు వేశాడు ఆదినారాయణ తరపున ఒక నిజాయితీ గల యువ న్యాయవాది అరుణ్ కేసును తీసుకున్నాడు అధ్యాయం న్యాయం వెనుక సత్యం కేసు కోర్టులో నడుస్తున్నప్పుడు రామారావు తన డబ్బు పలుకుబడిని ఉపయోగించి ప్రతి సాక్ష్యాన్ని తారుమారు చేయడానికి ప్రయత్నించాడు ఆదినారాయణకు ఏ ఒక్క సాక్ష్యం కూడా అనుకూలంగా లేదు ఈ పోరాటంలో ఆదినారాయణ మనసులో ఒక మార్పు వచ్చింది కేవలం నిజాయితీగా ఉండటం ధర్మం కాదు ఆ నిజాయితీని కాపాడుకోవడానికి పోరాడటం ధర్మం తాను ఇంతకాలం లోకాన్ని కేవలం సరళంగా చూశానని లోకజ్ఞానం అవసరమని గ్రహించాడు అరుణ్ రామారావు మోసాన్ని నిరూపించడానికి ఒక కొత్త కోణంలో ప్రయత్నించాడు రామారావు గతంలో చేసిన ఇతర మోసాలను బయటపెట్టడం అధ్యాయం అనుకోని సాక్ష్యం రామారావు గత మోసాల్లో బాధితుల్లో ఒకరు రాఘవేంద్రరావు ఆదినారాయణ గురించి తెలుసుకుని కోర్టులో సాక్ష్యం చెప్పడానికి ముందుకు వచ్చాడు రాఘవేంద్రరావు ఆదినారాయణ నిజాయితీని తన కొడుకు ప్రకాష్ పట్ల చూపిన మమతను చూసి చలించిపోయాడు రాఘవేంద్రరావు సాక్ష్యంతో రామారావు మోసపూరిత ఒప్పందాలు అత్యాశ మరియు ఆదినారాయణ నిజాయితీని ఎలా ఆసరాగా తీసుకుని మోసం చేశాడో నిరూపించబడింది అధ్యాయం మమత గెలిచింది కోర్టు తీర్పు ఆదినారాయణకు అనుకూలంగా వచ్చింది
is16.utf8,4,167,రామారావు ఆదినారాయణకు నష్టపరిహారంతో పాటు ఆ ఇంట్లో ఒక అంతస్తును కేటాయించాల్సి వచ్చింది రఘురామ్ కోల్పోయిన గౌరవం అతని మమత తిరిగి గెలిచాయి కొడుకు ప్రకాష్ తండ్రి దగ్గరకు వచ్చి నాన్న నన్ను క్షమించండి నా దృష్టిలో మీరు ఓడిపోయిన మనిషిలా కనిపించారు కానీ మీలోని నిజాయితీ మీ మమత ఈ రోజు నన్ను గెలిపించాయి ఈ డబ్బు ఇల్లు కాదు మీ నైతిక బలం మాత్రమే మాకు నిజమైన ఆస్తి అని తండ్రి కాళ్ళ మీద పడ్డాడు అధ్యాయం కొత్త లోకజ్ఞానం ఆదినారాయణ కేసు గెలిచినా రామారావు పట్ల ద్వేషాన్ని పెంచుకోలేదు అతను రామారావుతో రామారావు డబ్బు శాశ్వతం కాదు నేను నష్టపోయినప్పుడు మీరు నన్ను మమత లేని మనిషి అనుకున్నారు కానీ ఆ మమతే నన్ను తిరిగి నిలబెట్టింది మనుషులను మోసం చేయడం మానుకోండి అని హితవు చెప్పాడు ఆదినారాయణ లోకజ్ఞానం సరళత్వం రెండూ జీవితంలో ముఖ్యమని గ్రహించాడు సరళత్వం మనసులో ఉండాలి కానీ లోకజ్ఞానం కళ్ళలో ఉండాలి అధ్యాయం అనుబంధమే ఆస్తి ఆదినారాయణ కొత్త ఇంట్లోకి అడుగుపెట్టాడు కొడుకు ప్రకాష్ కూతురు సౌమ్య అతని చుట్టూ ప్రేమగా ఉన్నారు ఆదినారాయణ నవ్వి మనకు జరిగిన కష్టం ఒక పాఠం రామారావు నా ఆస్తిని దొంగిలించడానికి ప్రయత్నించాడు కానీ నా మనసులోని మమతను దొంగిలించలేకపోయాడు దారిద్రం వచ్చినా సమస్య వచ్చినా ఈ అనుబంధం ఈ మమత ఉంటే మనం ఎప్పటికీ బతికే ఉంటాం అని అన్నాడు వారి జీవితం సరళత్వం మరియు లోకజ్ఞానం అనే సమతుల్యతతో నిజమైన మమత యొక్క విలువను ప్రతిబింబిస్తూ కొనసాగింది
is17.utf8,1,181,మీరు మొత్తం కథ మాటకాని మౌనం ను ఒకే టెక్స్ట్ ఫార్మాట్లో కావాలని అడుగుతున్నారు మీకు సహాయం చేయడానికి కథా వచనాన్ని మొత్తం కింద ఇస్తున్నాను నేను మీకు నేరుగా ఫైల్ను సృష్టించి పంపలేను కానీ మీరు దీన్ని సులభంగా కాపీ చేసి మీ కంప్యూటర్లో ఉన్న టెక్స్ట్ ఎడిటర్ ఉదాహరణకు నోట్ప్యాడ్ లేదా గూగుల్ డాక్స్ లో పేస్ట్ చేసి ఆ తరువాత ఫైల్గా సేవ్ చేసుకోవచ్చు మాటకాని మౌనం రొమాంటిక్ ఎమోషనల్ డ్రామా అధ్యాయం పరిచయం మౌనం యొక్క భాష ఆదిత్య ఒక ప్రముఖ పత్రికా సంపాదకుడు అతను భావోద్వేగాలు ఎక్కువైనా వాటిని మాటల్లో వ్యక్తపరచడం కష్టం సమస్య వచ్చినప్పుడు అతను మౌనం వహించడం ద్వారా తన బాధను లేదా కోపాన్ని తెలియజేసేవాడు సమీర ఒక ఫ్రీలాన్స్ రచయిత్రి ఆమె ప్రేమ అనుబంధం అంటే మాటలతో పంచుకోవడంతో ఉండాలని నమ్ముతుంది ఆమెకు ఆదిత్య అంటే ప్రేమ ఉన్నా అతని మౌనం ఆమెకు నిర్లక్ష్యంగా శిక్షగా అనిపించేది వారి వివాహం ప్రేమ వివాహం వారిద్దరి బంధంలో భాషా సమస్య ఉంది ఆదిత్య భాష మౌనం సమీర భాష మాట ఈ వైరుధ్యం కారణంగా చిన్న అపార్థాలు కూడా పెద్ద గోడలుగా మారాయి అధ్యాయం ఆపలేని కోపం ఒక రోజు సమీర రాసిన ఒక కథను పబ్లిషర్ తిరస్కరించాడు సమీర చాలా బాధపడింది ఆదిత్య తన భార్యను ఓదార్చడానికి ప్రయత్నించినా మాటలు రాలేదు అతను సమీర పక్కన నిశ్శబ్దంగా కూర్చుని ఆమెకు కాఫీ ఇచ్చి మౌనంగానే తన మద్దతును చూపాడు కానీ సమీర కోపంగా మీరు నన్ను పట్టించుకోవడం లేదు మీరు నా బాధను అర్థం చేసుకోరు మీరు మాట్లాడకపోతే మీ ప్రేమ నాకు అర్థం కాదు
is17.utf8,2,187,మీ ఈ మాటకాని మౌనం నన్ను చంపేస్తోంది అని అరిచింది ఆదిత్యకు కోపం వచ్చింది నేను నీకు అండగా ఉన్నాను మాటలు లేకపోతే ప్రేమ లేనట్టా నీకు నాపై నమ్మకం లేదు అంటూ అతను కూడా కోపంతో మౌనం వహించాడు ఆదిత్య ఉద్దేశం తన బాధను చూపించడం కానీ సమీర అర్థం చేసుకున్నది తను నిర్లక్ష్యం చేయబడుతున్నానని అధ్యాయం దూరపు జీవితాలు ఆ సంఘటన తర్వాత వారిద్దరూ తమ తమ ప్రపంచాల్లో ఒంటరిగా జీవించడం మొదలుపెట్టారు ఇంట్లో ఒకే గదిలో ఉన్నా వారి మధ్య భావోద్వేగ దూరం పెరిగింది ఆదిత్య తన మౌనాన్ని కొనసాగిస్తే సమీర పరోక్షంగా కోపాన్ని చూపించింది సమీర ఆదిత్యకు ఇష్టమైన ఆహారాన్ని వండటం మానేసింది ఆదిత్య సమీర కొత్త రచనల గురించి ప్రస్తావించడం మానేశాడు వారి మధ్య నిజమైన కమ్యూనికేషన్ లేకపోవడంతో చిన్న చిన్న అపార్థాలు కూడా పెరిగి ఆ బంధం విడిపోయే ప్రమాదం ఏర్పడింది వారి వివాహంలోని ఆనందం ప్రేమ అపార్థం అనే మౌనపు తెర వెనుక పూర్తిగా దాగిపోయాయి అధ్యాయం శుభవార్త కొత్త భయం కొన్ని నెలల తర్వాత సమీర తాను గర్భవతినని తెలుసుకుంది ఆ శుభవార్త వారి జీవితంలోకి ఆశను భయాన్ని ఒకేసారి తీసుకువచ్చింది సమీర ఆదిత్యతో ఈ విషయం చెప్పినప్పుడు ఆదిత్య మౌనంగానే ఉండిపోయాడు సమీరకు కోపం బాధ కలిగాయి మీకు ఈ బిడ్డ అంటే సంతోషం లేదా మీరు ఎందుకు మౌనంగా ఉన్నారు మీ మౌనం ఈ బిడ్డకు కూడా శాపంగా మారుతుందా అని ప్రశ్నించింది ఆదిత్య ఆనందంతో మాటలు రాక మౌనం వహించాడు అతను మనసులో ఈ బిడ్డ మన బంధంలోని సమస్యలను ఎలా పరిష్కరిస్తుంది నేను మంచి తండ్రిగా ఉండగలనా అని భయపడ్డాడు కానీ ఆ భయాన్ని కూడా మౌనంగానే ఉంచాడు
is17.utf8,3,189,సమీర ఈ మాటకాని మౌనంను నిర్లక్ష్యంగా నిరాశగా అర్థం చేసుకుంది అధ్యాయం ఒంటరి ప్రయాణం గర్భధారణ సమయంలో సమీర ఒంటరిగా భావోద్వేగంగా కష్టపడింది ఆదిత్య ఆమెకు తెలియకుండానే ఆమెకు ఇష్టమైన పనులు చేసిపెట్టేవాడు డాక్టర్ అపాయింట్మెంట్స్ తీసుకునేవాడు కానీ ఎప్పుడూ నోరు విప్పి మాట్లాడలేదు అతని ప్రేమ భయం ఆందోళన అన్నీ మౌనం వెనుక దాగి ఉన్నాయి సమీర మనసులో తాను ఈ బంధంలో ఉండాలా వద్దా అనే సంఘర్షణ మొదలైంది ఒక రోజు ఆమె ఆదిత్యకు ఒక లెటర్ రాసింది మీ మౌనం నాకు అర్థం కావడం లేదు మీరు నన్ను ప్రేమించకపోతే నేను ఈ బంధం నుంచి బయటపడతాను నేను ఈ బిడ్డను ఒంటరిగా పెంచుకోగలను ఆ లెటర్ను ఆదిత్య టేబుల్ మీద పెట్టి సమీర తన పుట్టింటికి వెళ్ళిపోయింది అధ్యాయం మౌనం పగిలిన వేళ సమీర లెటర్ చదివిన ఆదిత్యకు ప్రపంచం తలక్రిందులైంది తన మౌనం తన భార్యను ఎంతగా దూరం చేసిందో అతనికి అర్థమైంది తన ప్రేమను ఆందోళనను వ్యక్తపరచలేని తన లోపం తన కుటుంబాన్ని నాశనం చేసిందని గ్రహించాడు ఆదిత్య వెంటనే సమీర దగ్గరకు వెళ్ళాడు అతను మొట్టమొదటిసారిగా ఏ మౌనం లేకుండా ఏ అహంకారం లేకుండా కన్నీళ్ళతో సమీరతో మాట్లాడాడు సమీరా నన్ను క్షమించు నా మౌనం నా బలహీనత నా భయం నేను నిన్ను ఎంత ప్రేమిస్తున్నానో చెప్పడానికి మాటలు రాక మౌనం వహించాను ఈ బిడ్డ అంటే నాకు సంతోషమే కానీ నేను మంచి తండ్రిగా ఉండలేనేమోనని భయపడ్డాను నా మౌనం నీకు శిక్షగా మారిందని గ్రహించలేదు ఆదిత్య కళ్ళల్లోని నిజమైన బాధ అతని నోటి నుంచి వచ్చిన మాటలు సమీర మనసును కదిలించాయి ఆమె అపార్థపు తెర పూర్తిగా తొలగిపోయింది అధ్యాయం బిడ్డ నవ్విన ధ్వని
is17.utf8,4,184,ఆదిత్య సమీర తిరిగి వారి ఇంటికి వచ్చారు ఆదిత్య తన మౌనాన్ని విడిచిపెట్టి సమీరతో బిడ్డతో మాట్లాడటం మొదలుపెట్టాడు అతను తన లోపాన్ని అంగీకరించి ప్రతి చిన్న విషయాన్ని పంచుకోవడం నేర్చుకున్నాడు సమీర కూడా ఆదిత్యలోని మార్పును గౌరవించి అతన్ని ప్రేమగా అంగీకరించింది వారిద్దరి మధ్య మాట్లాడే భాష భావాలను అర్థం చేసుకునే భాష అభివృద్ధి చెందింది కొన్ని నెలల తర్వాత సమీర ఒక ఆడబిడ్డకు జన్మనిచ్చింది ఆ బిడ్డకు మాన్య అని పేరు పెట్టారు అధ్యాయం అపార్థపు విరుగుడు మాన్య ఇంట్లో ఉన్నందున వారి మధ్య ప్రేమ ఆనందం వెల్లివిరిశాయి ఒక రోజు మాన్య నిద్రపోతున్నప్పుడు ఆదిత్య సమీర కలిసి పాత విషయాల గురించి మాట్లాడుకున్నారు సమీర మీ పాత మాటకాని మౌనం ఎంత భయంకరమైందో నాకు ఇప్పుడు అర్థమైంది అది ప్రేమకు అపార్థానికి మధ్య ఉన్న సన్నని గీత ఆదిత్య నిజమే నేను భయం ఆందోళన వచ్చినప్పుడు మౌనంగా ఉండిపోయేవాడిని ఇప్పుడు మాన్య నన్ను చూసి నవ్వినప్పుడు పాప నవ్వింది ఆ నవ్వు నా మౌనాన్ని భయాన్ని పారదోలుతుంది ఆ బిడ్డ నవ్వు మన జీవితంలో అపార్థపు విరుగుడు అధ్యాయం మౌనం యొక్క నిజమైన అర్థం వారు ఇప్పుడు మౌనంగా ఉన్నా ఆ మౌనంలో కోపం అపార్థం లేవు కేవలం శాంతి మరియు అంగీకారం మాత్రమే ఉన్నాయి ఆదిత్య తన మౌనం యొక్క నిజమైన అర్థాన్ని సమయాన్ని గుర్తించడం నేర్చుకున్నాడు మాన్య నవ్వినప్పుడల్లా ఆ నవ్వు వారి బంధంలో పాప నవ్వింది అనే పాత సంఘర్షణను గుర్తు చేసి వారి ప్రేమను మరింత పటిష్టం చేసింది అధ్యాయం ప్రేమ గెలుపు వారి వివాహ జీవితం ఇప్పుడు పరిపూర్ణంగా ఉంది ఆదిత్య సమీర తమ బిడ్డ మాన్యతో కలిసి జీవిస్తున్నారు
is17.utf8,5,82,ఒక రోజు ఆదిత్య తన పత్రికలో ఒక ఆర్టికల్ రాశాడు మాటకాని మౌనం అనే శీర్షికతో ఆ ఆర్టికల్లో అతను తన వైవాహిక జీవితంలోని సంఘర్షణను మౌనం యొక్క లోపాన్ని మరియు తన బిడ్డ పుట్టుక నవ్వు ఆ మౌనాన్ని ఎలా విచ్ఛిన్నం చేసిందో వివరించాడు మాన్య పుట్టుక కేవలం ఒక బిడ్డ పుట్టుక కాదు అది మా ఇద్దరి మధ్య ఉన్న అపార్థపు గోడను కూల్చివేసిన ప్రేమ నిజమైన ప్రేమకు మాటలు మౌనం కాదు ఒకరినొకరు అంగీకరించే మనసు కావాలి మా పాప నవ్వింది ఆ నవ్వే మా జీవితంలో ప్రేమ గెలిచిన వేళ అని ఆదిత్య ముగించాడు వారి జీవితం ఒక బిడ్డ నవ్వుతో మాటకాని మౌనాన్ని దాటి నిజమైన సంభాషణలోకి అడుగుపెట్టింది
is18.utf8,1,187,మీరు మొత్తం కథ రెండు తీరాల నది ను ఒకే టెక్స్ట్ ఫార్మాట్లో కావాలని అడుగుతున్నారు మీకు సహాయం చేయడానికి కథా వచనాన్ని మొత్తం కింద ఇస్తున్నాను నేను మీకు నేరుగా ఫైల్ను సృష్టించి పంపలేను కానీ మీరు దీన్ని సులభంగా కాపీ చేసి మీ కంప్యూటర్లో ఉన్న టెక్స్ట్ ఎడిటర్ ఉదాహరణకు నోట్ప్యాడ్ లేదా గూగుల్ డాక్స్ లో పేస్ట్ చేసి ఆ తరువాత ఫైల్గా సేవ్ చేసుకోవచ్చు రెండు తీరాల నది రొమాంటిక్ ఎమోషనల్ డ్రామా అధ్యాయం పరిచయం పూల వైరుధ్యం హాసిని ఒక ప్రశాంతమైన టీచర్ ఆమె స్వభావం చాలా లోతైనది భావోద్వేగాలను బయటకు చూపించదు ఆమె ఒక చంపక పువ్వు లాంటిదినిశ్శబ్దంగా అపారమైన సువాసనతో ఉంటుంది కానీ అందరినీ సులభంగా ఆకర్షించదు ఆమెకు ఆత్మగౌరవం ఎక్కువ ఎవరికీ తలవంచదు కార్తీక్ ఒక ఈవెంట్ మేనేజ్మెంట్ కంపెనీ యజమాని అతను ఉల్లాసంగా బహిరంగంగా ప్రతి క్షణం సంతోషంగా ఉండేవాడు అతను ఒక సన్నజాజి పువ్వు లాంటివాడుసులభంగా అందరి దృష్టిని ఆకర్షిస్తాడు కానీ అతని భావోద్వేగాలు పైపైనే కనిపిస్తాయి అతను హాసినిలోని ప్రశాంతతను లోతును ప్రేమించాడు వారి వివాహం ప్రేమ వివాహం వారిద్దరూ కలిసి ఉన్నా వారి వ్యక్తిత్వాల్లోని వైరుధ్యం కారణంగా వారి బంధం ఒకే నదికి చెందిన రెండు తీరాలలా ఉండేదిఎప్పుడూ పక్కపక్కనే ప్రయాణిస్తున్నా కలవలేని దూరం ఉండేది అధ్యాయం సుగంధపు ఘర్షణ పెళ్లయిన తర్వాత వారి విభిన్న స్వభావాలు ఘర్షణకు దారితీశాయి కార్తీక్ ప్రతి చిన్న సంతోషాన్ని బహిరంగంగా పంచుకోవాలని ఆశిస్తే హాసిని తన భావోద్వేగాలను తనలో దాచుకునేది ఒక రోజు కార్తీక్ పెద్ద కాంట్రాక్ట్ గెలిచాడు అతను ఇంటికి వచ్చి ఆ సంతోషాన్ని హాసినితో పంచుకోవాలని పార్టీ ఇవ్వాలని అన్నాడు హాసిని కార్తీక్ ఇంత డబ్బును వృధా చేయవద్దు
